size,runtime,GFLOPS
2000,0.13405278,1193.559731
2000,0.13470715,1187.761748
2000,0.14594249,1096.322257
2000,0.14261955,1121.865831
2000,0.14217347,1125.385770
3000,0.38681185,1396.027552
3000,0.37579743,1436.944367
3000,0.37700762,1432.331792
3000,0.39283199,1374.633466
3000,0.38149528,1415.482781
4000,0.82699227,1547.777466
4000,0.83068721,1540.892871
4000,0.82156919,1557.994160
4000,0.82809293,1545.720237
4000,0.82445014,1552.549921
5000,0.162605770,1537.460817
5000,0.163045708,1533.312364
5000,0.163110483,1532.703450
5000,0.163002697,1533.716954
5000,0.162706026,1536.513466
6000,0.276432160,1562.770410
6000,0.276225359,1563.940406
6000,0.279586854,1545.137026
6000,0.276211226,1564.020428
6000,0.277014379,1559.485834
7000,0.428339353,1601.533913
7000,0.428297265,1601.691293
7000,0.434023532,1580.559461
7000,0.428647735,1600.381721
7000,0.428853140,1599.615197
8000,0.625967935,1635.866540
8000,0.633959958,1615.243971
8000,0.632957599,1617.801890
8000,0.632985480,1617.730631
8000,0.626162277,1635.358816
9000,0.889614977,1638.911257
9000,0.895444529,1628.241564
9000,0.888543597,1640.887408
9000,0.887178823,1643.411635
9000,0.885773131,1646.019674
10000,1.259556031,1587.861080
10000,1.254446614,1594.328509
10000,1.263330258,1583.117310
10000,1.254639670,1594.083184
10000,1.260905257,1586.161997
11000,1.650839915,1612.512501
11000,1.652966205,1610.438248
11000,1.663025692,1600.696858
11000,1.649260115,1614.057101
11000,1.663241600,1600.489069
12000,2.126200347,1625.434783
12000,2.127592711,1624.371047
12000,2.126120517,1625.495814
12000,2.145190378,1611.045824
12000,2.127422993,1624.500634
13000,2.700759237,1626.949911
13000,2.694453615,1630.757336
13000,2.691861697,1632.327547
13000,2.693103967,1631.574590
13000,2.702451408,1625.931178
14000,3.378387488,1624.443620
14000,3.368979215,1628.980071
14000,3.374226835,1626.446670
14000,3.370970014,1628.018041
14000,3.374800122,1626.170381
15000,4.165382616,1620.499393
15000,4.165457715,1620.470177
15000,4.188942067,1611.385379
15000,4.165431560,1620.480352
15000,4.156309448,1624.036921
16000,5.43308590,1624.330507
16000,5.43514344,1624.264241
16000,5.50088425,1622.149814
16000,5.41317531,1624.972034
16000,5.86466190,1610.548403
17000,6.21442169,1631.834986
17000,6.29208923,1629.732876
17000,6.20279531,1632.150127
17000,6.36582955,1627.742064
17000,6.22854678,1631.452281
18000,7.137736563,1634.131478
18000,7.201843649,1619.585285
18000,7.139952600,1633.624290
18000,7.126691042,1636.664187
18000,7.188510023,1622.589377
19000,8.335723730,1645.687938
19000,8.327928129,1647.228433
19000,8.357234112,1641.452162
19000,8.379172005,1637.154601
19000,8.335641560,1645.704161
20000,9.918410618,1613.161687
20000,9.817313765,1629.773723
20000,9.814585193,1630.226819
20000,9.820150150,1629.302990
20000,9.806229883,1631.615839
