size,runtime,GFLOPS
2000,0.122505984,130.605865
2000,0.16126706,992.143095
2000,0.16379310,976.842126
2000,0.17152701,932.797698
2000,0.17948299,891.449379
3000,0.40467117,1334.416781
3000,0.41092178,1314.118711
3000,0.40978163,1317.775031
3000,0.40688006,1327.172435
3000,0.40463046,1334.551037
4000,0.87102740,1469.528972
4000,0.86442535,1480.752502
4000,0.86511052,1479.579742
4000,0.86340571,1482.501199
4000,0.86553719,1478.850377
5000,0.168296479,1485.473739
5000,0.167646988,1491.228700
5000,0.167780722,1490.040077
5000,0.167974580,1488.320435
5000,0.167757424,1490.247013
6000,0.278125821,1553.253842
6000,0.278898243,1548.952031
6000,0.278877704,1549.066110
6000,0.277872827,1554.668028
6000,0.278287477,1552.351563
7000,0.432954864,1584.460776
7000,0.431836890,1588.562756
7000,0.431880415,1588.402660
7000,0.432357125,1586.651313
7000,0.431987756,1588.007971
8000,0.633190198,1617.207599
8000,0.633318032,1616.881169
8000,0.633506997,1616.398879
8000,0.634552405,1613.735906
8000,0.634650570,1613.486300
9000,0.903424928,1613.858501
9000,0.902715940,1615.126016
9000,0.903246376,1614.177525
9000,0.902457409,1615.588709
9000,0.903943958,1612.931849
10000,1.239193825,1613.952523
10000,1.245979703,1605.162584
10000,1.243256009,1608.679134
10000,1.244966638,1606.468751
10000,1.244360364,1607.251451
11000,1.637893647,1625.258151
11000,1.637815705,1625.335495
11000,1.639385239,1623.779412
11000,1.637057661,1626.088111
11000,1.638428062,1624.728032
12000,2.130236059,1622.355412
12000,2.130446923,1622.194837
12000,2.130907292,1621.844373
12000,2.131485412,1621.404482
12000,2.131835457,1621.138249
13000,2.694302702,1630.848678
13000,2.697436064,1628.954272
13000,2.696845400,1629.311046
13000,2.695965787,1629.842642
13000,2.695068709,1630.385149
14000,3.369306170,1628.821996
14000,3.370799523,1628.100385
14000,3.369591474,1628.684083
14000,3.369448135,1628.753369
14000,3.368505427,1629.209191
15000,4.174312319,1617.032815
15000,4.173474578,1617.357402
15000,4.173358529,1617.402376
15000,4.176142975,1616.323972
15000,4.173976285,1617.162997
16000,5.14414156,1633.690346
16000,5.15805497,1633.237175
16000,5.15977113,1633.181296
16000,5.14718328,1633.591254
16000,5.13651084,1633.938992
17000,6.14894476,1633.611369
17000,6.14964459,1633.592362
17000,6.11019612,1634.664439
17000,6.10257375,1634.871751
17000,6.11861700,1634.435469
18000,7.130706613,1635.742519
18000,7.131257614,1635.616133
18000,7.129567586,1636.003847
18000,7.130896165,1635.699038
18000,7.130959566,1635.684495
19000,8.407808965,1631.578460
19000,8.408548355,1631.434990
19000,8.450732120,1623.291308
19000,8.410093481,1631.135258
19000,8.408935400,1631.359898
20000,9.870938130,1620.919895
20000,9.862042028,1622.382054
20000,9.862041034,1622.382217
20000,9.863839612,1622.086391
20000,9.862900433,1622.240852
