size,runtime,GFLOPS
2000,0.136105940,117.555487
2000,0.16153389,990.504222
2000,0.16497021,969.872076
2000,0.16909885,946.192124
2000,0.16150470,990.683243
3000,0.40855943,1321.717137
3000,0.41207429,1310.443318
3000,0.40915667,1319.787846
3000,0.40676048,1327.562599
3000,0.40630042,1329.065818
4000,0.86583744,1478.337550
4000,0.86478390,1480.138564
4000,0.86773049,1475.112393
4000,0.87061649,1470.222555
4000,0.86592616,1478.186085
5000,0.168073472,1487.444729
5000,0.168349676,1485.004343
5000,0.168021716,1487.902909
5000,0.167768250,1490.150848
5000,0.167999793,1488.097072
6000,0.277975837,1554.091912
6000,0.277901695,1554.506532
6000,0.278679521,1550.167728
6000,0.278422635,1551.597987
6000,0.278096707,1553.416452
7000,0.432213924,1587.177002
7000,0.432961885,1584.435083
7000,0.432306650,1586.836566
7000,0.432774741,1585.120237
7000,0.431969627,1588.074617
8000,0.633872226,1615.467531
8000,0.633738547,1615.808293
8000,0.634287716,1614.409320
8000,0.633890879,1615.419994
8000,0.633843091,1615.541787
9000,0.903598865,1613.547843
9000,0.903331167,1614.026011
9000,0.903195963,1614.267623
9000,0.903238269,1614.192013
9000,0.903422931,1613.862068
10000,1.244597668,1606.945000
10000,1.245116444,1606.275469
10000,1.244943370,1606.498776
10000,1.244305839,1607.321880
10000,1.245554892,1605.710044
11000,1.639505858,1623.659950
11000,1.639421621,1623.743377
11000,1.639530527,1623.635520
11000,1.640325392,1622.848743
11000,1.640131754,1623.040340
12000,2.132286732,1620.795153
12000,2.132219086,1620.846574
12000,2.129941037,1622.580128
12000,2.133332612,1620.000548
12000,2.132401522,1620.707903
13000,2.698137937,1628.530528
13000,2.698507581,1628.307451
13000,2.697967452,1628.633435
13000,2.698528764,1628.294669
13000,2.698105583,1628.550057
14000,3.366130121,1630.358840
14000,3.372121674,1627.462034
14000,3.369525294,1628.716072
14000,3.369929332,1628.520797
14000,3.369088322,1628.927317
15000,4.177104975,1615.951727
15000,4.178081308,1615.574112
15000,4.176480714,1616.193265
15000,4.175865580,1616.431341
15000,4.176521982,1616.177295
16000,5.17323040,1632.743185
16000,5.19286487,1632.104488
16000,5.18909273,1632.227154
16000,5.18614865,1632.322906
16000,5.14687398,1633.601329
17000,6.14234760,1633.790564
17000,6.14177676,1633.806071
17000,6.14803376,1633.636112
17000,6.12797985,1634.180963
17000,6.15029576,1633.574678
18000,7.135178639,1634.717306
18000,7.135527571,1634.637367
18000,7.135612210,1634.617978
18000,7.134018982,1634.983034
18000,7.133341421,1635.138333
19000,8.416351080,1629.922501
19000,8.412096483,1630.746869
19000,8.412900725,1630.590976
19000,8.414570463,1630.267411
19000,8.412948538,1630.581708
20000,9.870312289,1621.022672
20000,9.871778421,1620.781922
20000,9.869909520,1621.088822
20000,9.871242965,1620.869839
20000,9.869225757,1621.201135
